Call Id,Agent,Date,Month,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
ID0909,Jim,16-Jan-21,Jan,16:52,Payment related,Y,N,58,0:04:31,2
ID0910,Becky,16-Jan-21,Jan,16:52,Streaming,Y,Y,13,0:02:05,3
ID0911,Stewart,16-Jan-21,Jan,17:42,Contract related,Y,Y,36,0:03:58,4
ID0912,Greg,16-Jan-21,Jan,17:42,Contract related,Y,Y,48,0:03:38,3
ID0913,Stewart,16-Jan-21,Jan,17:57,Payment related,Y,Y,99,0:00:33,5
ID0914,Joe,16-Jan-21,Jan,17:57,Technical Support,Y,Y,78,0:01:47,3
ID0915,Greg,16-Jan-21,Jan,17:58,Streaming,Y,Y,82,0:02:52,4
ID0916,Becky,16-Jan-21,Jan,17:58,Admin Support,N,N,0,0:00:00,0
ID0917,Stewart,16-Jan-21,Jan,18:00,Streaming,Y,Y,19,0:01:43,5
ID0918,Becky,16-Jan-21,Jan,18:00,Streaming,Y,Y,34,0:06:45,4
ID0919,Becky,17-Jan-21,Jan,9:51,Technical Support,Y,Y,89,0:03:11,3
ID0920,Martha,17-Jan-21,Jan,9:51,Contract related,Y,Y,116,0:06:18,4
ID0921,Martha,17-Jan-21,Jan,10:32,Streaming,Y,Y,88,0:04:03,4
ID0922,Stewart,17-Jan-21,Jan,10:32,Streaming,Y,Y,15,0:03:04,3
ID0923,Martha,17-Jan-21,Jan,11:42,Contract related,Y,Y,59,0:02:17,5
ID0924,Greg,17-Jan-21,Jan,11:42,Contract related,N,N,0,0:00:00,0
ID0925,Martha,17-Jan-21,Jan,11:42,Contract related,Y,Y,125,0:03:09,2
ID0926,Greg,17-Jan-21,Jan,11:42,Streaming,Y,Y,88,0:04:06,4
ID0927,Jim,17-Jan-21,Jan,11:45,Streaming,Y,Y,20,0:04:39,5
ID0928,Stewart,17-Jan-21,Jan,11:45,Contract related,Y,Y,64,0:05:46,3
ID0929,Jim,17-Jan-21,Jan,12:38,Streaming,N,N,0,0:00:00,0
ID0930,Stewart,17-Jan-21,Jan,12:38,Admin Support,Y,Y,111,0:02:19,5
ID0931,Joe,17-Jan-21,Jan,12:44,Admin Support,N,N,0,0:00:00,0
ID0932,Jim,17-Jan-21,Jan,12:44,Technical Support,N,N,0,0:00:00,0
ID0933,Joe,17-Jan-21,Jan,13:29,Technical Support,Y,Y,40,0:03:01,4
ID0934,Martha,17-Jan-21,Jan,13:29,Technical Support,Y,Y,35,0:03:07,2
ID0935,Martha,17-Jan-21,Jan,13:30,Contract related,Y,Y,106,0:02:47,5
ID0936,Diane,17-Jan-21,Jan,13:30,Payment related,Y,Y,97,0:02:39,2
ID0937,Diane,17-Jan-21,Jan,13:36,Contract related,Y,Y,67,0:01:51,3
ID0938,Stewart,17-Jan-21,Jan,13:36,Contract related,Y,Y,98,0:01:16,5
ID0939,Joe,17-Jan-21,Jan,13:53,Contract related,Y,Y,120,0:02:20,4
ID0940,Becky,17-Jan-21,Jan,13:53,Technical Support,Y,Y,91,0:00:45,5
ID0941,Martha,17-Jan-21,Jan,14:00,Payment related,Y,Y,22,0:04:53,5
ID0942,Diane,17-Jan-21,Jan,14:00,Streaming,Y,N,113,0:02:45,2
ID0943,Diane,17-Jan-21,Jan,14:18,Streaming,N,N,0,0:00:00,0
ID0944,Jim,17-Jan-21,Jan,14:18,Payment related,Y,Y,60,0:01:58,4
ID0945,Diane,17-Jan-21,Jan,14:28,Payment related,Y,Y,97,0:02:35,5
ID0946,Becky,17-Jan-21,Jan,14:28,Streaming,Y,Y,118,0:00:52,4
ID0947,Dan,17-Jan-21,Jan,14:31,Technical Support,Y,Y,19,0:01:21,5
ID0948,Stewart,17-Jan-21,Jan,14:31,Contract related,N,N,0,0:00:00,0
ID0949,Greg,17-Jan-21,Jan,15:00,Streaming,N,N,0,0:00:00,0
ID0950,Dan,17-Jan-21,Jan,15:00,Streaming,Y,Y,124,0:06:18,4
ID0951,Dan,17-Jan-21,Jan,15:01,Payment related,Y,Y,53,0:05:11,2
ID0952,Diane,17-Jan-21,Jan,15:01,Admin Support,Y,Y,61,0:00:38,5
ID0953,Joe,17-Jan-21,Jan,15:21,Contract related,Y,Y,18,0:00:46,1
ID0954,Greg,17-Jan-21,Jan,15:21,Admin Support,Y,Y,80,0:01:16,3
ID0955,Stewart,17-Jan-21,Jan,16:22,Technical Support,Y,Y,47,0:04:08,4
ID0956,Stewart,17-Jan-21,Jan,16:22,Payment related,Y,Y,101,0:05:20,2
ID0957,Joe,17-Jan-21,Jan,16:24,Streaming,Y,Y,71,0:05:40,3
ID0958,Martha,17-Jan-21,Jan,16:24,Technical Support,Y,Y,44,0:04:07,4
ID0959,Becky,17-Jan-21,Jan,16:29,Payment related,Y,Y,14,0:03:00,4
ID0960,Martha,17-Jan-21,Jan,16:29,Payment related,N,N,0,0:00:00,0
ID0961,Jim,17-Jan-21,Jan,17:06,Contract related,Y,Y,44,0:02:40,2
ID0962,Diane,17-Jan-21,Jan,17:06,Admin Support,Y,Y,97,0:06:46,4
ID0963,Becky,17-Jan-21,Jan,17:16,Streaming,N,N,0,0:00:00,0
ID0964,Diane,17-Jan-21,Jan,17:16,Admin Support,Y,N,91,0:04:09,3
ID0965,Dan,17-Jan-21,Jan,17:21,Payment related,Y,Y,48,0:03:13,3
ID0966,Greg,17-Jan-21,Jan,17:21,Contract related,Y,Y,45,0:01:39,3
ID0967,Becky,17-Jan-21,Jan,17:54,Admin Support,Y,Y,60,0:02:00,5
ID0968,Jim,17-Jan-21,Jan,17:54,Streaming,Y,Y,85,0:05:32,4
ID0969,Joe,18-Jan-21,Jan,9:24,Admin Support,Y,Y,53,0:06:06,4
ID0970,Greg,18-Jan-21,Jan,9:24,Contract related,Y,N,27,0:06:14,5
ID0971,Joe,18-Jan-21,Jan,9:24,Admin Support,Y,Y,30,0:04:03,3
ID0972,Dan,18-Jan-21,Jan,9:24,Contract related,N,N,0,0:00:00,0
ID0973,Jim,18-Jan-21,Jan,9:31,Admin Support,Y,Y,113,0:03:01,5
ID0974,Jim,18-Jan-21,Jan,9:31,Technical Support,N,N,0,0:00:00,0
ID0975,Diane,18-Jan-21,Jan,9:36,Admin Support,N,N,0,0:00:00,0
ID0976,Jim,18-Jan-21,Jan,9:36,Streaming,Y,Y,80,0:06:57,4
ID0977,Stewart,18-Jan-21,Jan,10:16,Contract related,Y,Y,45,0:07:00,5
ID0978,Joe,18-Jan-21,Jan,10:16,Admin Support,Y,Y,95,0:02:16,1
ID0979,Martha,18-Jan-21,Jan,11:28,Streaming,N,N,0,0:00:00,0
ID0980,Dan,18-Jan-21,Jan,11:28,Payment related,Y,Y,33,0:01:28,3
ID0981,Stewart,18-Jan-21,Jan,11:47,Payment related,N,N,0,0:00:00,0
ID0982,Jim,18-Jan-21,Jan,11:47,Streaming,Y,Y,90,0:06:47,3
ID0983,Greg,18-Jan-21,Jan,11:51,Payment related,Y,Y,90,0:02:14,3
ID0984,Jim,18-Jan-21,Jan,11:51,Streaming,Y,N,57,0:04:10,1
ID0985,Becky,18-Jan-21,Jan,11:55,Admin Support,Y,Y,123,0:05:50,2
ID0986,Diane,18-Jan-21,Jan,11:55,Admin Support,Y,Y,39,0:06:51,4
ID0987,Greg,18-Jan-21,Jan,11:57,Technical Support,Y,N,38,0:02:16,5
ID0988,Diane,18-Jan-21,Jan,11:57,Streaming,Y,Y,26,0:01:35,1
ID0989,Diane,18-Jan-21,Jan,11:58,Contract related,Y,Y,43,0:02:34,3
ID0990,Jim,18-Jan-21,Jan,11:58,Streaming,Y,Y,89,0:05:53,3
ID0991,Jim,18-Jan-21,Jan,12:00,Contract related,Y,Y,121,0:05:24,3
ID0992,Jim,18-Jan-21,Jan,12:00,Payment related,Y,Y,114,0:03:10,4
ID0993,Stewart,18-Jan-21,Jan,12:34,Contract related,N,N,0,0:00:00,0
ID0994,Dan,18-Jan-21,Jan,12:34,Technical Support,N,N,0,0:00:00,0
ID0995,Becky,18-Jan-21,Jan,12:37,Streaming,N,N,0,0:00:00,0
ID0996,Becky,18-Jan-21,Jan,12:37,Admin Support,Y,N,101,0:04:36,3
ID0997,Joe,18-Jan-21,Jan,12:38,Payment related,Y,Y,87,0:05:19,4
ID0998,Greg,18-Jan-21,Jan,12:38,Admin Support,Y,Y,22,0:06:02,5
ID0999,Stewart,18-Jan-21,Jan,12:41,Streaming,Y,Y,19,0:03:57,2
ID1000,Becky,18-Jan-21,Jan,12:41,Admin Support,Y,Y,31,0:02:30,4
ID1001,Martha,18-Jan-21,Jan,12:48,Payment related,Y,Y,24,0:06:03,4
ID1002,Dan,18-Jan-21,Jan,12:48,Payment related,Y,N,94,0:04:42,4
ID1003,Dan,18-Jan-21,Jan,13:10,Streaming,Y,Y,79,0:00:47,4
ID1004,Jim,18-Jan-21,Jan,13:10,Technical Support,N,N,0,0:00:00,0
ID1005,Martha,18-Jan-21,Jan,13:10,Admin Support,Y,Y,87,0:04:40,4
ID1006,Dan,18-Jan-21,Jan,13:10,Contract related,Y,N,65,0:06:04,4
ID1007,Martha,18-Jan-21,Jan,14:58,Contract related,Y,Y,36,0:04:23,3
ID1008,Joe,18-Jan-21,Jan,14:58,Technical Support,N,N,0,0:00:00,0
ID1009,Stewart,18-Jan-21,Jan,15:18,Streaming,Y,Y,33,0:02:16,4
ID1010,Becky,18-Jan-21,Jan,15:18,Contract related,N,N,0,0:00:00,0
ID1011,Jim,18-Jan-21,Jan,15:50,Admin Support,N,N,0,0:00:00,0
ID1012,Greg,18-Jan-21,Jan,15:50,Streaming,Y,Y,24,0:03:15,5
ID1013,Stewart,18-Jan-21,Jan,16:12,Admin Support,Y,Y,32,0:03:40,5
ID1014,Joe,18-Jan-21,Jan,16:12,Contract related,Y,N,24,0:03:46,4
ID1015,Stewart,18-Jan-21,Jan,16:49,Technical Support,Y,Y,96,0:05:29,5
ID1016,Joe,18-Jan-21,Jan,16:49,Technical Support,Y,Y,45,0:02:05,5
ID1017,Jim,18-Jan-21,Jan,17:13,Admin Support,Y,Y,16,0:05:09,1
ID1018,Greg,18-Jan-21,Jan,17:13,Technical Support,Y,Y,75,0:06:56,5
ID1019,Joe,18-Jan-21,Jan,17:18,Contract related,Y,Y,71,0:00:37,3
ID1020,Stewart,18-Jan-21,Jan,17:18,Technical Support,Y,Y,47,0:02:17,3
ID1021,Stewart,18-Jan-21,Jan,17:18,Admin Support,Y,Y,54,0:04:48,3
ID1022,Becky,18-Jan-21,Jan,17:18,Payment related,Y,Y,101,0:04:29,4
ID1023,Martha,18-Jan-21,Jan,17:25,Streaming,Y,Y,46,0:02:07,3
ID1024,Becky,18-Jan-21,Jan,17:25,Technical Support,Y,Y,45,0:06:55,3
ID1025,Martha,18-Jan-21,Jan,17:26,Technical Support,Y,Y,45,0:05:25,4
ID1026,Jim,18-Jan-21,Jan,17:26,Admin Support,Y,Y,30,0:04:58,5
ID1027,Greg,18-Jan-21,Jan,17:42,Technical Support,Y,Y,105,0:04:54,4
ID1028,Jim,18-Jan-21,Jan,17:42,Payment related,Y,Y,102,0:04:54,4
ID1029,Greg,18-Jan-21,Jan,17:55,Payment related,Y,Y,46,0:05:01,3
ID1030,Stewart,18-Jan-21,Jan,17:55,Admin Support,Y,Y,11,0:00:52,1
ID1031,Dan,19-Jan-21,Jan,9:02,Payment related,Y,Y,125,0:06:03,3
ID1032,Stewart,19-Jan-21,Jan,9:02,Admin Support,Y,Y,112,0:01:53,3
ID1033,Becky,19-Jan-21,Jan,9:15,Technical Support,Y,Y,14,0:01:56,3
ID1034,Joe,19-Jan-21,Jan,9:15,Contract related,Y,N,10,0:04:43,4
ID1035,Martha,19-Jan-21,Jan,9:18,Contract related,Y,Y,60,0:00:32,3
ID1036,Diane,19-Jan-21,Jan,9:18,Streaming,Y,Y,59,0:05:02,5
ID1037,Stewart,19-Jan-21,Jan,9:36,Technical Support,Y,Y,87,0:03:43,5
ID1038,Martha,19-Jan-21,Jan,9:36,Contract related,Y,Y,111,0:03:06,5
ID1039,Joe,19-Jan-21,Jan,9:44,Contract related,N,N,0,0:00:00,0
ID1040,Becky,19-Jan-21,Jan,9:44,Payment related,Y,Y,10,0:03:11,2
ID1041,Joe,19-Jan-21,Jan,10:13,Technical Support,N,N,0,0:00:00,0
ID1042,Joe,19-Jan-21,Jan,10:13,Streaming,N,N,0,0:00:00,0
ID1043,Greg,19-Jan-21,Jan,10:19,Payment related,Y,Y,116,0:05:48,5
ID1044,Diane,19-Jan-21,Jan,10:19,Admin Support,Y,N,89,0:03:20,3
ID1045,Becky,19-Jan-21,Jan,10:33,Contract related,N,N,0,0:00:00,0
ID1046,Joe,19-Jan-21,Jan,10:33,Contract related,Y,N,106,0:03:52,4
ID1047,Stewart,19-Jan-21,Jan,10:52,Streaming,N,N,0,0:00:00,0
ID1048,Martha,19-Jan-21,Jan,10:52,Streaming,Y,Y,81,0:01:27,4
ID1049,Dan,19-Jan-21,Jan,11:25,Contract related,N,N,0,0:00:00,0
ID1050,Jim,19-Jan-21,Jan,11:25,Admin Support,Y,Y,96,0:05:39,5
ID1051,Jim,19-Jan-21,Jan,11:44,Payment related,Y,Y,64,0:06:06,5
ID1052,Jim,19-Jan-21,Jan,11:44,Contract related,Y,N,79,0:06:49,1
ID1053,Jim,19-Jan-21,Jan,11:55,Payment related,Y,Y,98,0:02:23,1
ID1054,Joe,19-Jan-21,Jan,11:55,Admin Support,Y,Y,91,0:04:00,5
ID1055,Martha,19-Jan-21,Jan,12:28,Streaming,N,N,0,0:00:00,0
ID1056,Stewart,19-Jan-21,Jan,12:28,Contract related,Y,Y,84,0:06:44,2
ID1057,Joe,19-Jan-21,Jan,12:40,Technical Support,Y,Y,47,0:05:58,5
ID1058,Martha,19-Jan-21,Jan,12:40,Payment related,Y,Y,42,0:02:06,5
ID1059,Dan,19-Jan-21,Jan,12:59,Streaming,Y,N,45,0:03:44,4
ID1060,Dan,19-Jan-21,Jan,12:59,Technical Support,N,N,0,0:00:00,0
ID1061,Jim,19-Jan-21,Jan,13:14,Payment related,Y,Y,19,0:01:36,5
ID1062,Greg,19-Jan-21,Jan,13:14,Contract related,Y,Y,114,0:01:25,3
ID1063,Jim,19-Jan-21,Jan,13:22,Admin Support,Y,Y,94,0:00:57,5
ID1064,Dan,19-Jan-21,Jan,13:22,Payment related,N,N,0,0:00:00,0
ID1065,Diane,19-Jan-21,Jan,13:26,Streaming,Y,Y,99,0:02:16,5
ID1066,Diane,19-Jan-21,Jan,13:26,Streaming,Y,Y,23,0:04:32,4
ID1067,Greg,19-Jan-21,Jan,13:36,Technical Support,N,N,0,0:00:00,0
ID1068,Dan,19-Jan-21,Jan,13:36,Admin Support,Y,Y,80,0:04:52,5
ID1069,Stewart,19-Jan-21,Jan,13:37,Payment related,Y,Y,18,0:05:19,3
ID1070,Diane,19-Jan-21,Jan,13:37,Contract related,N,N,0,0:00:00,0
ID1071,Martha,19-Jan-21,Jan,13:45,Payment related,Y,Y,104,0:03:33,4
ID1072,Martha,19-Jan-21,Jan,13:45,Payment related,Y,Y,116,0:05:45,3
ID1073,Stewart,19-Jan-21,Jan,14:22,Streaming,Y,Y,44,0:06:09,5
ID1074,Joe,19-Jan-21,Jan,14:22,Payment related,Y,Y,91,0:06:43,4
ID1075,Greg,19-Jan-21,Jan,15:00,Contract related,N,N,0,0:00:00,0
ID1076,Martha,19-Jan-21,Jan,15:00,Technical Support,Y,Y,122,0:04:15,3
ID1077,Becky,19-Jan-21,Jan,15:30,Streaming,Y,Y,103,0:02:49,3
ID1078,Becky,19-Jan-21,Jan,15:30,Technical Support,Y,Y,18,0:02:01,5
ID1079,Jim,19-Jan-21,Jan,15:34,Contract related,Y,Y,20,0:02:27,4
ID1080,Greg,19-Jan-21,Jan,15:34,Payment related,Y,Y,93,0:01:41,2
ID1081,Becky,19-Jan-21,Jan,15:54,Admin Support,N,N,0,0:00:00,0
ID1082,Joe,19-Jan-21,Jan,15:54,Technical Support,Y,Y,63,0:04:20,4
ID1083,Greg,19-Jan-21,Jan,16:09,Contract related,Y,Y,90,0:06:32,4
ID1084,Dan,19-Jan-21,Jan,16:09,Contract related,Y,Y,43,0:04:00,4
ID1085,Jim,19-Jan-21,Jan,16:40,Contract related,Y,N,105,0:01:50,4
ID1086,Joe,19-Jan-21,Jan,16:40,Contract related,Y,Y,59,0:05:10,5
ID1087,Joe,19-Jan-21,Jan,16:56,Admin Support,Y,Y,115,0:06:47,4
ID1088,Dan,19-Jan-21,Jan,16:56,Payment related,Y,Y,106,0:01:51,4
ID1089,Becky,19-Jan-21,Jan,17:15,Streaming,Y,Y,35,0:00:59,3
ID1090,Diane,19-Jan-21,Jan,17:15,Contract related,Y,Y,48,0:06:35,4
ID1091,Jim,19-Jan-21,Jan,17:24,Contract related,N,N,0,0:00:00,0
ID1092,Jim,19-Jan-21,Jan,17:24,Technical Support,Y,Y,56,0:06:38,4
ID1093,Stewart,20-Jan-21,Jan,9:05,Technical Support,N,N,0,0:00:00,0
ID1094,Stewart,20-Jan-21,Jan,9:05,Admin Support,Y,Y,99,0:04:39,4
ID1095,Joe,20-Jan-21,Jan,9:46,Admin Support,Y,Y,71,0:02:41,3
ID1096,Stewart,20-Jan-21,Jan,9:46,Payment related,Y,Y,54,0:04:24,4
ID1097,Greg,20-Jan-21,Jan,9:46,Admin Support,N,N,0,0:00:00,0
ID1098,Dan,20-Jan-21,Jan,9:46,Payment related,N,N,0,0:00:00,0
ID1099,Jim,20-Jan-21,Jan,9:46,Streaming,Y,Y,54,0:01:26,4
ID1100,Joe,20-Jan-21,Jan,9:46,Technical Support,Y,Y,62,0:01:49,2
ID1101,Stewart,20-Jan-21,Jan,10:22,Payment related,Y,Y,24,0:04:08,4
ID1102,Jim,20-Jan-21,Jan,10:22,Admin Support,Y,Y,94,0:04:10,5
ID1103,Becky,20-Jan-21,Jan,11:24,Payment related,Y,Y,43,0:00:56,3
ID1104,Martha,20-Jan-21,Jan,11:24,Streaming,N,N,0,0:00:00,0
ID1105,Joe,20-Jan-21,Jan,12:00,Streaming,Y,Y,58,0:04:14,5
ID1106,Greg,20-Jan-21,Jan,12:00,Payment related,Y,Y,15,0:06:35,1
ID1107,Becky,20-Jan-21,Jan,12:07,Contract related,Y,Y,102,0:01:16,1
ID1108,Greg,20-Jan-21,Jan,12:07,Contract related,Y,Y,40,0:05:22,2
ID1109,Diane,20-Jan-21,Jan,12:27,Technical Support,Y,Y,63,0:04:50,2
ID1110,Martha,20-Jan-21,Jan,12:27,Streaming,Y,Y,77,0:06:22,4
ID1111,Martha,20-Jan-21,Jan,12:59,Technical Support,Y,Y,93,0:05:30,4
ID1112,Becky,20-Jan-21,Jan,12:59,Streaming,Y,Y,101,0:03:22,5
ID1113,Stewart,20-Jan-21,Jan,13:00,Payment related,Y,Y,34,0:00:34,5
ID1114,Stewart,20-Jan-21,Jan,13:00,Payment related,Y,Y,64,0:01:34,5
ID1115,Greg,20-Jan-21,Jan,13:26,Technical Support,Y,N,25,0:06:32,3
ID1116,Jim,20-Jan-21,Jan,13:26,Admin Support,Y,Y,122,0:02:13,4
ID1117,Stewart,20-Jan-21,Jan,13:26,Streaming,Y,Y,36,0:01:01,4
ID1118,Stewart,20-Jan-21,Jan,13:26,Contract related,Y,Y,37,0:01:34,3
ID1119,Joe,20-Jan-21,Jan,13:59,Streaming,Y,Y,112,0:06:46,3
ID1120,Diane,20-Jan-21,Jan,13:59,Payment related,N,N,0,0:00:00,0
ID1121,Jim,20-Jan-21,Jan,14:03,Admin Support,Y,Y,57,0:04:53,3
ID1122,Jim,20-Jan-21,Jan,14:03,Admin Support,Y,Y,14,0:02:28,3
ID1123,Becky,20-Jan-21,Jan,16:00,Admin Support,Y,Y,72,0:04:11,2
ID1124,Becky,20-Jan-21,Jan,16:00,Admin Support,Y,Y,60,0:06:32,3
ID1125,Becky,20-Jan-21,Jan,16:20,Payment related,Y,Y,52,0:02:57,5
ID1126,Stewart,20-Jan-21,Jan,16:20,Contract related,N,N,0,0:00:00,0
ID1127,Joe,20-Jan-21,Jan,17:42,Streaming,Y,Y,73,0:00:45,3
ID1128,Becky,20-Jan-21,Jan,17:42,Contract related,Y,Y,108,0:02:20,4
ID1129,Joe,20-Jan-21,Jan,17:55,Streaming,Y,Y,50,0:01:48,4
ID1130,Stewart,20-Jan-21,Jan,17:55,Technical Support,N,N,0,0:00:00,0
ID1131,Joe,20-Jan-21,Jan,17:57,Admin Support,Y,N,100,0:04:04,2
ID1132,Joe,20-Jan-21,Jan,17:57,Technical Support,Y,Y,69,0:01:22,3
ID1133,Becky,21-Jan-21,Jan,9:20,Streaming,Y,Y,39,0:02:11,1
ID1134,Jim,21-Jan-21,Jan,9:20,Technical Support,Y,Y,71,0:02:54,5
ID1135,Dan,21-Jan-21,Jan,9:37,Streaming,N,N,0,0:00:00,0
ID1136,Greg,21-Jan-21,Jan,9:37,Technical Support,Y,Y,79,0:01:19,5
ID1137,Martha,21-Jan-21,Jan,9:56,Contract related,Y,Y,57,0:05:24,3
ID1138,Diane,21-Jan-21,Jan,9:56,Admin Support,Y,Y,82,0:04:53,4
ID1139,Jim,21-Jan-21,Jan,10:14,Contract related,Y,Y,73,0:03:13,1
ID1140,Jim,21-Jan-21,Jan,10:14,Technical Support,Y,Y,110,0:02:11,5
ID1141,Martha,21-Jan-21,Jan,10:19,Admin Support,Y,Y,106,0:01:49,5
ID1142,Jim,21-Jan-21,Jan,10:19,Streaming,Y,Y,92,0:02:13,4
ID1143,Greg,21-Jan-21,Jan,10:24,Streaming,Y,Y,28,0:06:00,4
ID1144,Martha,21-Jan-21,Jan,10:24,Contract related,Y,Y,108,0:06:02,1
ID1145,Becky,21-Jan-21,Jan,10:53,Streaming,Y,Y,57,0:01:47,4
ID1146,Martha,21-Jan-21,Jan,10:53,Contract related,Y,Y,109,0:05:56,3
ID1147,Greg,21-Jan-21,Jan,10:59,Contract related,Y,Y,55,0:01:37,2
ID1148,Martha,21-Jan-21,Jan,10:59,Technical Support,N,N,0,0:00:00,0
ID1149,Dan,21-Jan-21,Jan,11:15,Payment related,Y,Y,68,0:06:53,1
ID1150,Jim,21-Jan-21,Jan,11:15,Admin Support,Y,N,46,0:00:34,3
ID1151,Jim,21-Jan-21,Jan,12:02,Technical Support,Y,Y,30,0:04:59,3
ID1152,Martha,21-Jan-21,Jan,12:02,Admin Support,Y,Y,107,0:00:50,4
ID1153,Greg,21-Jan-21,Jan,12:02,Technical Support,Y,Y,122,0:06:25,5
ID1154,Martha,21-Jan-21,Jan,12:02,Admin Support,N,N,0,0:00:00,0
ID1155,Stewart,21-Jan-21,Jan,12:07,Technical Support,Y,Y,18,0:00:37,5
ID1156,Joe,21-Jan-21,Jan,12:07,Streaming,N,N,0,0:00:00,0
ID1157,Joe,21-Jan-21,Jan,15:47,Payment related,N,N,0,0:00:00,0
ID1158,Joe,21-Jan-21,Jan,15:47,Technical Support,N,N,0,0:00:00,0
ID1159,Martha,21-Jan-21,Jan,15:48,Technical Support,N,N,0,0:00:00,0
ID1160,Stewart,21-Jan-21,Jan,15:48,Streaming,Y,Y,99,0:02:14,4
ID1161,Dan,21-Jan-21,Jan,16:03,Contract related,Y,Y,52,0:01:47,2
ID1162,Martha,21-Jan-21,Jan,16:03,Admin Support,N,N,0,0:00:00,0
ID1163,Becky,21-Jan-21,Jan,16:20,Payment related,N,N,0,0:00:00,0
ID1164,Jim,21-Jan-21,Jan,16:20,Contract related,Y,Y,79,0:00:47,3
ID1165,Martha,21-Jan-21,Jan,16:29,Streaming,Y,Y,112,0:02:51,5
ID1166,Diane,21-Jan-21,Jan,16:29,Payment related,Y,Y,16,0:04:23,3
ID1167,Joe,21-Jan-21,Jan,16:46,Contract related,Y,Y,22,0:06:58,3
ID1168,Dan,21-Jan-21,Jan,16:46,Contract related,Y,Y,115,0:01:25,1
ID1169,Dan,21-Jan-21,Jan,17:11,Technical Support,Y,Y,125,0:04:37,4
ID1170,Martha,21-Jan-21,Jan,17:11,Payment related,Y,Y,68,0:05:06,3
ID1171,Jim,21-Jan-21,Jan,17:26,Technical Support,Y,Y,44,0:01:16,4
ID1172,Becky,21-Jan-21,Jan,17:26,Technical Support,N,N,0,0:00:00,0
ID1173,Stewart,21-Jan-21,Jan,17:26,Streaming,Y,Y,119,0:00:42,4
ID1174,Martha,21-Jan-21,Jan,17:26,Streaming,Y,Y,62,0:00:54,5
ID1175,Greg,21-Jan-21,Jan,17:26,Streaming,Y,Y,84,0:06:04,5
ID1176,Martha,21-Jan-21,Jan,17:26,Technical Support,N,N,0,0:00:00,0
ID1177,Greg,21-Jan-21,Jan,17:36,Streaming,Y,Y,75,0:06:28,4
ID1178,Martha,21-Jan-21,Jan,17:36,Payment related,Y,Y,114,0:02:54,4
ID1179,Dan,21-Jan-21,Jan,17:38,Technical Support,N,N,0,0:00:00,0
ID1180,Stewart,21-Jan-21,Jan,17:38,Admin Support,Y,Y,21,0:02:10,4
ID1181,Stewart,22-Jan-21,Jan,9:11,Technical Support,N,N,0,0:00:00,0
ID1182,Diane,22-Jan-21,Jan,9:11,Admin Support,Y,Y,20,0:01:08,3
ID1183,Diane,22-Jan-21,Jan,9:11,Technical Support,Y,Y,112,0:03:37,1
ID1184,Becky,22-Jan-21,Jan,9:11,Streaming,Y,Y,85,0:05:24,4
ID1185,Martha,22-Jan-21,Jan,9:24,Admin Support,Y,Y,34,0:06:07,3
ID1186,Diane,22-Jan-21,Jan,9:24,Streaming,Y,Y,53,0:05:02,4
ID1187,Martha,22-Jan-21,Jan,9:48,Streaming,Y,Y,103,0:02:14,5
ID1188,Becky,22-Jan-21,Jan,9:48,Contract related,Y,Y,98,0:06:53,4
ID1189,Becky,22-Jan-21,Jan,9:59,Technical Support,Y,Y,23,0:04:44,1
ID1190,Martha,22-Jan-21,Jan,9:59,Admin Support,Y,Y,53,0:01:17,2
ID1191,Becky,22-Jan-21,Jan,10:37,Technical Support,N,N,0,0:00:00,0
ID1192,Diane,22-Jan-21,Jan,10:37,Contract related,Y,N,55,0:04:40,4
ID1193,Martha,22-Jan-21,Jan,11:39,Admin Support,Y,Y,77,0:05:02,5
ID1194,Becky,22-Jan-21,Jan,11:39,Technical Support,Y,Y,46,0:06:05,3
ID1195,Greg,22-Jan-21,Jan,11:42,Technical Support,N,N,0,0:00:00,0
ID1196,Martha,22-Jan-21,Jan,11:42,Payment related,Y,Y,39,0:05:05,4
ID1197,Greg,22-Jan-21,Jan,11:55,Payment related,Y,Y,13,0:07:00,3
ID1198,Jim,22-Jan-21,Jan,11:55,Admin Support,Y,Y,84,0:05:34,5
ID1199,Dan,22-Jan-21,Jan,11:55,Admin Support,Y,Y,60,0:04:46,3
ID1200,Dan,22-Jan-21,Jan,11:55,Admin Support,Y,Y,32,0:00:35,5
ID1201,Stewart,22-Jan-21,Jan,12:47,Technical Support,N,N,0,0:00:00,0
ID1202,Greg,22-Jan-21,Jan,12:47,Contract related,N,N,0,0:00:00,0
ID1203,Joe,22-Jan-21,Jan,14:19,Admin Support,N,N,0,0:00:00,0
ID1204,Dan,22-Jan-21,Jan,14:19,Payment related,Y,Y,67,0:06:42,4
ID1205,Stewart,22-Jan-21,Jan,14:22,Streaming,Y,N,94,0:03:58,4
ID1206,Stewart,22-Jan-21,Jan,14:22,Streaming,Y,Y,92,0:06:10,1
ID1207,Becky,22-Jan-21,Jan,14:44,Streaming,Y,Y,35,0:01:10,3
ID1208,Diane,22-Jan-21,Jan,14:44,Admin Support,Y,Y,57,0:01:21,5
ID1209,Stewart,22-Jan-21,Jan,14:48,Streaming,N,N,0,0:00:00,0
ID1210,Jim,22-Jan-21,Jan,14:48,Admin Support,Y,Y,15,0:04:55,4
